,relationType,argSrc,argTrg,Unnamed: 0.1,Unnamed: 0
1124,neither,"A higher fine, so dog owners would have to dig deeper into their pockets, is supposed to be a deterrent after all.",for they are there for our recreation.,,
1125,neither,"A higher fine, so dog owners would have to dig deeper into their pockets, is supposed to be a deterrent after all.",Besides you're not allowed to leave other rubbish without punishment.,,
1126,support,"The city, especially the green spaces, should be kept tidy after all,","Dog owners should pay higher fines for dog dirt left on pavements,",,
1127,neither,"The city, especially the green spaces, should be kept tidy after all,",although there aren't enough bins and bag-dispensers for dog dirt.,,
1128,neither,"The city, especially the green spaces, should be kept tidy after all,",One reason for this is that they have thus far hardly had to fear the consequences despite the obligation to clean up.,,
1129,neither,"The city, especially the green spaces, should be kept tidy after all,","A higher fine, so dog owners would have to dig deeper into their pockets, is supposed to be a deterrent after all.",,
1130,neither,"The city, especially the green spaces, should be kept tidy after all,",for they are there for our recreation.,,
1131,neither,"The city, especially the green spaces, should be kept tidy after all,",Besides you're not allowed to leave other rubbish without punishment.,,
1132,neither,for they are there for our recreation.,"Dog owners should pay higher fines for dog dirt left on pavements,",,
1133,neither,for they are there for our recreation.,although there aren't enough bins and bag-dispensers for dog dirt.,,
1134,neither,for they are there for our recreation.,One reason for this is that they have thus far hardly had to fear the consequences despite the obligation to clean up.,,
1135,neither,for they are there for our recreation.,"A higher fine, so dog owners would have to dig deeper into their pockets, is supposed to be a deterrent after all.",,
1136,support,for they are there for our recreation.,"The city, especially the green spaces, should be kept tidy after all,",,
1137,neither,for they are there for our recreation.,Besides you're not allowed to leave other rubbish without punishment.,,
1138,support,Besides you're not allowed to leave other rubbish without punishment.,"Dog owners should pay higher fines for dog dirt left on pavements,",,
1139,neither,Besides you're not allowed to leave other rubbish without punishment.,although there aren't enough bins and bag-dispensers for dog dirt.,,
1140,neither,Besides you're not allowed to leave other rubbish without punishment.,One reason for this is that they have thus far hardly had to fear the consequences despite the obligation to clean up.,,
1141,neither,Besides you're not allowed to leave other rubbish without punishment.,"A higher fine, so dog owners would have to dig deeper into their pockets, is supposed to be a deterrent after all.",,
1142,neither,Besides you're not allowed to leave other rubbish without punishment.,"The city, especially the green spaces, should be kept tidy after all,",,
1143,neither,Besides you're not allowed to leave other rubbish without punishment.,for they are there for our recreation.,,
1144,neither,Every German citizen has a right to education.,"Quality at universities has its price,",,
1145,neither,Every German citizen has a right to education.,which is why students also ought to be involved in this cost factor.,,
1146,neither,Every German citizen has a right to education.,But education must not be a question of money in a wealthy society such as Germany.,,
1147,support,Every German citizen has a right to education.,Therefore universities should not charge tuition fees in Germany.,,
1148,neither,"Quality at universities has its price,",Every German citizen has a right to education.,,
1149,support,"Quality at universities has its price,",which is why students also ought to be involved in this cost factor.,,
1150,neither,"Quality at universities has its price,",But education must not be a question of money in a wealthy society such as Germany.,,
1151,neither,"Quality at universities has its price,",Therefore universities should not charge tuition fees in Germany.,,
1152,neither,which is why students also ought to be involved in this cost factor.,Every German citizen has a right to education.,,
1153,neither,which is why students also ought to be involved in this cost factor.,"Quality at universities has its price,",,
1154,neither,which is why students also ought to be involved in this cost factor.,But education must not be a question of money in a wealthy society such as Germany.,,
1155,attack,which is why students also ought to be involved in this cost factor.,Therefore universities should not charge tuition fees in Germany.,,
1156,neither,But education must not be a question of money in a wealthy society such as Germany.,Every German citizen has a right to education.,,
1157,neither,But education must not be a question of money in a wealthy society such as Germany.,"Quality at universities has its price,",,
1158,attack,But education must not be a question of money in a wealthy society such as Germany.,which is why students also ought to be involved in this cost factor.,,
1159,neither,But education must not be a question of money in a wealthy society such as Germany.,Therefore universities should not charge tuition fees in Germany.,,
1160,neither,Therefore universities should not charge tuition fees in Germany.,Every German citizen has a right to education.,,
1161,neither,Therefore universities should not charge tuition fees in Germany.,"Quality at universities has its price,",,
1162,neither,Therefore universities should not charge tuition fees in Germany.,which is why students also ought to be involved in this cost factor.,,
1163,neither,Therefore universities should not charge tuition fees in Germany.,But education must not be a question of money in a wealthy society such as Germany.,,
1164,neither,The TV/radio licence fee can only be required of all citizens/households equally.,Critics point out that they are not using what's on offer by public broadcasting.,,
1165,neither,The TV/radio licence fee can only be required of all citizens/households equally.,I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters.,,
1166,neither,The TV/radio licence fee can only be required of all citizens/households equally.,"However, it is impossible to monitor this and collect more customized fees.",,
1167,neither,The TV/radio licence fee can only be required of all citizens/households equally.,"Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not.",,
1168,attack,Critics point out that they are not using what's on offer by public broadcasting.,The TV/radio licence fee can only be required of all citizens/households equally.,,
1169,neither,Critics point out that they are not using what's on offer by public broadcasting.,I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters.,,
1170,neither,Critics point out that they are not using what's on offer by public broadcasting.,"However, it is impossible to monitor this and collect more customized fees.",,
1171,neither,Critics point out that they are not using what's on offer by public broadcasting.,"Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not.",,
1172,neither,I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters.,The TV/radio licence fee can only be required of all citizens/households equally.,,
1173,attack,I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters.,Critics point out that they are not using what's on offer by public broadcasting.,,
1174,neither,I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters.,"However, it is impossible to monitor this and collect more customized fees.",,
1175,neither,I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters.,"Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not.",,
1176,neither,"However, it is impossible to monitor this and collect more customized fees.",The TV/radio licence fee can only be required of all citizens/households equally.,,
1177,attack,"However, it is impossible to monitor this and collect more customized fees.",Critics point out that they are not using what's on offer by public broadcasting.,,
1178,neither,"However, it is impossible to monitor this and collect more customized fees.",I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters.,,
1179,neither,"However, it is impossible to monitor this and collect more customized fees.","Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not.",,
1180,support,"Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not.",The TV/radio licence fee can only be required of all citizens/households equally.,,
1181,neither,"Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not.",Critics point out that they are not using what's on offer by public broadcasting.,,
1182,neither,"Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not.",I do doubt that there is anyone who has never at least indirectly watched the programming of the public broadcasters.,,
1183,neither,"Just as with other choices in culture or infrastructure, public broadcasters are also to be financed, regardless of whether individuals make use of their programming or not.","However, it is impossible to monitor this and collect more customized fees.",,
1184,support,"For years there has been a housing shortage in Berlin,","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",0.0,
1185,neither,"For years there has been a housing shortage in Berlin,","Since the area belongs to the federal state, or the federation,",1.0,
1186,neither,"For years there has been a housing shortage in Berlin,",it could even be used for social housing with affordable rents.,2.0,
1187,neither,"For years there has been a housing shortage in Berlin,","Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",3.0,
1188,neither,"For years there has been a housing shortage in Berlin,","If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",4.0,
1189,neither,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","For years there has been a housing shortage in Berlin,",5.0,
1190,neither,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","Since the area belongs to the federal state, or the federation,",6.0,
1191,neither,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",it could even be used for social housing with affordable rents.,7.0,
1192,neither,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",8.0,
1193,support,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",9.0,
1194,neither,"Since the area belongs to the federal state, or the federation,","For years there has been a housing shortage in Berlin,",10.0,
1195,neither,"Since the area belongs to the federal state, or the federation,","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",11.0,
1196,support,"Since the area belongs to the federal state, or the federation,",it could even be used for social housing with affordable rents.,12.0,
1197,neither,"Since the area belongs to the federal state, or the federation,","Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",13.0,
1198,neither,"Since the area belongs to the federal state, or the federation,","If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",14.0,
1199,neither,it could even be used for social housing with affordable rents.,"For years there has been a housing shortage in Berlin,",15.0,
1200,support,it could even be used for social housing with affordable rents.,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",16.0,
1201,neither,it could even be used for social housing with affordable rents.,"Since the area belongs to the federal state, or the federation,",17.0,
1202,neither,it could even be used for social housing with affordable rents.,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",18.0,
1203,neither,it could even be used for social housing with affordable rents.,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",19.0,
1204,neither,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.","For years there has been a housing shortage in Berlin,",20.0,
1205,attack,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",21.0,
1206,neither,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.","Since the area belongs to the federal state, or the federation,",22.0,
1207,neither,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",it could even be used for social housing with affordable rents.,23.0,
1208,neither,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.","If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",24.0,
1209,neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","For years there has been a housing shortage in Berlin,",25.0,
1210,neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",26.0,
1211,neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","Since the area belongs to the federal state, or the federation,",27.0,
1212,neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",it could even be used for social housing with affordable rents.,28.0,
1213,neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",29.0,
1214,neither,The death penalty should be abandoned everywhere.,From a Christian and humanistic perspective it is not allowed to kill someone.,30.0,
1215,neither,The death penalty should be abandoned everywhere.,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,31.0,
1216,neither,The death penalty should be abandoned everywhere.,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,32.0,
1217,neither,The death penalty should be abandoned everywhere.,Moreover it turns out time and again that innocent people are also convicted and executed.,33.0,
1218,support,From a Christian and humanistic perspective it is not allowed to kill someone.,The death penalty should be abandoned everywhere.,34.0,
1219,neither,From a Christian and humanistic perspective it is not allowed to kill someone.,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,35.0,
1220,neither,From a Christian and humanistic perspective it is not allowed to kill someone.,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,36.0,
1221,neither,From a Christian and humanistic perspective it is not allowed to kill someone.,Moreover it turns out time and again that innocent people are also convicted and executed.,37.0,
1222,attack,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,The death penalty should be abandoned everywhere.,38.0,
1223,neither,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,From a Christian and humanistic perspective it is not allowed to kill someone.,39.0,
1224,neither,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,40.0,
1225,neither,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,Moreover it turns out time and again that innocent people are also convicted and executed.,41.0,
1226,neither,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,The death penalty should be abandoned everywhere.,42.0,
1227,neither,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,From a Christian and humanistic perspective it is not allowed to kill someone.,43.0,
1228,attack,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,44.0,
1229,neither,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,Moreover it turns out time and again that innocent people are also convicted and executed.,45.0,
1230,support,Moreover it turns out time and again that innocent people are also convicted and executed.,The death penalty should be abandoned everywhere.,46.0,
1231,neither,Moreover it turns out time and again that innocent people are also convicted and executed.,From a Christian and humanistic perspective it is not allowed to kill someone.,47.0,
1232,neither,Moreover it turns out time and again that innocent people are also convicted and executed.,Proponents of the death penalty count on its deterring effect as well as the ultimate elimination of any potential threat.,48.0,
1233,neither,Moreover it turns out time and again that innocent people are also convicted and executed.,However also the threat of the death penalty in the respective countries apparently cannot prevent murder and violent crime.,49.0,
1234,neither,"A bank bailout is very, very costly.","For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",50.0,
1235,support,"A bank bailout is very, very costly.",That's why we should not allow any additional bank rescues.,51.0,
1236,neither,"A bank bailout is very, very costly.",The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,52.0,
1237,neither,"A bank bailout is very, very costly.",But even with that tiny amount you could do a lot of good elsewhere.,53.0,
1238,support,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.","A bank bailout is very, very costly.",54.0,
1239,neither,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",That's why we should not allow any additional bank rescues.,55.0,
1240,neither,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,56.0,
1241,neither,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",But even with that tiny amount you could do a lot of good elsewhere.,57.0,
1242,neither,That's why we should not allow any additional bank rescues.,"A bank bailout is very, very costly.",58.0,
1243,neither,That's why we should not allow any additional bank rescues.,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",59.0,
1244,neither,That's why we should not allow any additional bank rescues.,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,60.0,
1245,neither,That's why we should not allow any additional bank rescues.,But even with that tiny amount you could do a lot of good elsewhere.,61.0,
1246,attack,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,"A bank bailout is very, very costly.",62.0,
1247,neither,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",63.0,
1248,neither,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,That's why we should not allow any additional bank rescues.,64.0,
1249,neither,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,But even with that tiny amount you could do a lot of good elsewhere.,65.0,
1250,neither,But even with that tiny amount you could do a lot of good elsewhere.,"A bank bailout is very, very costly.",66.0,
1251,neither,But even with that tiny amount you could do a lot of good elsewhere.,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",67.0,
1252,neither,But even with that tiny amount you could do a lot of good elsewhere.,That's why we should not allow any additional bank rescues.,68.0,
1253,attack,But even with that tiny amount you could do a lot of good elsewhere.,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,69.0,
1254,neither,Video games ought to be included in the ranks of Olympic events.,The performance often required by players is considerable and by all means comparable to physical efforts.,70.0,
1255,neither,Video games ought to be included in the ranks of Olympic events.,"Various skills are promoted and required by different games,",71.0,
1256,neither,Video games ought to be included in the ranks of Olympic events.,"including planning abilities, reaction time, and reasoning to name but a few.",72.0,
1257,neither,Video games ought to be included in the ranks of Olympic events.,"Considering their requirements, some video games are not relevant as sports,",73.0,
1258,neither,Video games ought to be included in the ranks of Olympic events.,but this issue should be solvable through a clearly structured preselection process.,74.0,
1259,support,The performance often required by players is considerable and by all means comparable to physical efforts.,Video games ought to be included in the ranks of Olympic events.,75.0,
1260,neither,The performance often required by players is considerable and by all means comparable to physical efforts.,"Various skills are promoted and required by different games,",76.0,
1261,neither,The performance often required by players is considerable and by all means comparable to physical efforts.,"including planning abilities, reaction time, and reasoning to name but a few.",77.0,
1262,neither,The performance often required by players is considerable and by all means comparable to physical efforts.,"Considering their requirements, some video games are not relevant as sports,",78.0,
1263,neither,The performance often required by players is considerable and by all means comparable to physical efforts.,but this issue should be solvable through a clearly structured preselection process.,79.0,
1264,neither,"Various skills are promoted and required by different games,",Video games ought to be included in the ranks of Olympic events.,80.0,
1265,support,"Various skills are promoted and required by different games,",The performance often required by players is considerable and by all means comparable to physical efforts.,81.0,
1266,neither,"Various skills are promoted and required by different games,","including planning abilities, reaction time, and reasoning to name but a few.",82.0,
1267,neither,"Various skills are promoted and required by different games,","Considering their requirements, some video games are not relevant as sports,",83.0,
1268,neither,"Various skills are promoted and required by different games,",but this issue should be solvable through a clearly structured preselection process.,84.0,
1269,neither,"including planning abilities, reaction time, and reasoning to name but a few.",Video games ought to be included in the ranks of Olympic events.,85.0,
1270,neither,"including planning abilities, reaction time, and reasoning to name but a few.",The performance often required by players is considerable and by all means comparable to physical efforts.,86.0,
1271,support,"including planning abilities, reaction time, and reasoning to name but a few.","Various skills are promoted and required by different games,",87.0,
1272,neither,"including planning abilities, reaction time, and reasoning to name but a few.","Considering their requirements, some video games are not relevant as sports,",88.0,
1273,neither,"including planning abilities, reaction time, and reasoning to name but a few.",but this issue should be solvable through a clearly structured preselection process.,89.0,
1274,attack,"Considering their requirements, some video games are not relevant as sports,",Video games ought to be included in the ranks of Olympic events.,90.0,
1275,neither,"Considering their requirements, some video games are not relevant as sports,",The performance often required by players is considerable and by all means comparable to physical efforts.,91.0,
1276,neither,"Considering their requirements, some video games are not relevant as sports,","Various skills are promoted and required by different games,",92.0,
1277,neither,"Considering their requirements, some video games are not relevant as sports,","including planning abilities, reaction time, and reasoning to name but a few.",93.0,
1278,neither,"Considering their requirements, some video games are not relevant as sports,",but this issue should be solvable through a clearly structured preselection process.,94.0,
1279,neither,but this issue should be solvable through a clearly structured preselection process.,Video games ought to be included in the ranks of Olympic events.,95.0,
1280,neither,but this issue should be solvable through a clearly structured preselection process.,The performance often required by players is considerable and by all means comparable to physical efforts.,96.0,
1281,neither,but this issue should be solvable through a clearly structured preselection process.,"Various skills are promoted and required by different games,",97.0,
1282,neither,but this issue should be solvable through a clearly structured preselection process.,"including planning abilities, reaction time, and reasoning to name but a few.",98.0,
1283,attack,but this issue should be solvable through a clearly structured preselection process.,"Considering their requirements, some video games are not relevant as sports,",99.0,
1284,neither,Our society is in danger of overheating due to 'never clocking off'.,"Even though politicians stress the Christian character of our country,",100.0,
1285,neither,Our society is in danger of overheating due to 'never clocking off'.,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,101.0,
1286,neither,Our society is in danger of overheating due to 'never clocking off'.,"But after all, the purpose of having a day off is not just to make time to go to church.",102.0,
1287,neither,Our society is in danger of overheating due to 'never clocking off'.,Rather it should give people the chance to have a mental break.,103.0,
1288,support,Our society is in danger of overheating due to 'never clocking off'.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,104.0,
1289,neither,"Even though politicians stress the Christian character of our country,",Our society is in danger of overheating due to 'never clocking off'.,105.0,
1290,attack,"Even though politicians stress the Christian character of our country,",the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,106.0,
1291,neither,"Even though politicians stress the Christian character of our country,","But after all, the purpose of having a day off is not just to make time to go to church.",107.0,
1292,neither,"Even though politicians stress the Christian character of our country,",Rather it should give people the chance to have a mental break.,108.0,
1293,neither,"Even though politicians stress the Christian character of our country,",That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,109.0,
1294,support,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,Our society is in danger of overheating due to 'never clocking off'.,110.0,
1295,neither,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,"Even though politicians stress the Christian character of our country,",111.0,
1296,neither,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,"But after all, the purpose of having a day off is not just to make time to go to church.",112.0,
1297,neither,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,Rather it should give people the chance to have a mental break.,113.0,
1298,neither,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,114.0,
1299,neither,"But after all, the purpose of having a day off is not just to make time to go to church.",Our society is in danger of overheating due to 'never clocking off'.,115.0,
1300,neither,"But after all, the purpose of having a day off is not just to make time to go to church.","Even though politicians stress the Christian character of our country,",116.0,
1301,neither,"But after all, the purpose of having a day off is not just to make time to go to church.",the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,117.0,
1302,neither,"But after all, the purpose of having a day off is not just to make time to go to church.",Rather it should give people the chance to have a mental break.,118.0,
1303,support,"But after all, the purpose of having a day off is not just to make time to go to church.",That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,119.0,
1304,neither,Rather it should give people the chance to have a mental break.,Our society is in danger of overheating due to 'never clocking off'.,120.0,
1305,neither,Rather it should give people the chance to have a mental break.,"Even though politicians stress the Christian character of our country,",121.0,
1306,neither,Rather it should give people the chance to have a mental break.,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,122.0,
1307,neither,Rather it should give people the chance to have a mental break.,"But after all, the purpose of having a day off is not just to make time to go to church.",123.0,
1308,support,Rather it should give people the chance to have a mental break.,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,124.0,
1309,neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,Our society is in danger of overheating due to 'never clocking off'.,125.0,
1310,neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,"Even though politicians stress the Christian character of our country,",126.0,
1311,neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,the last 20 years have seen the Sunday off work increasingly sacrificed to commerce.,127.0,
1312,neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,"But after all, the purpose of having a day off is not just to make time to go to church.",128.0,
1313,neither,That's why there ought to be one day a week when supermarkets and shopping centres stay closed.,Rather it should give people the chance to have a mental break.,129.0,
1314,neither,"Well, I as an employee find it very practical to be able to shop at least on weekends.","Sure, other people have to work in the shops on the weekend,",130.0,
1315,neither,"Well, I as an employee find it very practical to be able to shop at least on weekends.",but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,131.0,
1316,neither,"Well, I as an employee find it very practical to be able to shop at least on weekends.","Plus, the state wants me to spend my money,",132.0,
1317,neither,"Well, I as an employee find it very practical to be able to shop at least on weekends.",and how am I supposed to do that when the shops aren't open when I'm off work?,133.0,
1318,attack,"Sure, other people have to work in the shops on the weekend,","Well, I as an employee find it very practical to be able to shop at least on weekends.",134.0,
1319,neither,"Sure, other people have to work in the shops on the weekend,",but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,135.0,
1320,neither,"Sure, other people have to work in the shops on the weekend,","Plus, the state wants me to spend my money,",136.0,
1321,neither,"Sure, other people have to work in the shops on the weekend,",and how am I supposed to do that when the shops aren't open when I'm off work?,137.0,
1322,neither,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,"Well, I as an employee find it very practical to be able to shop at least on weekends.",138.0,
1323,attack,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,"Sure, other people have to work in the shops on the weekend,",139.0,
1324,neither,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,"Plus, the state wants me to spend my money,",140.0,
1325,neither,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,and how am I supposed to do that when the shops aren't open when I'm off work?,141.0,
1326,support,"Plus, the state wants me to spend my money,","Well, I as an employee find it very practical to be able to shop at least on weekends.",142.0,
1327,neither,"Plus, the state wants me to spend my money,","Sure, other people have to work in the shops on the weekend,",143.0,
1328,neither,"Plus, the state wants me to spend my money,",but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,144.0,
1329,neither,"Plus, the state wants me to spend my money,",and how am I supposed to do that when the shops aren't open when I'm off work?,145.0,
1330,support,and how am I supposed to do that when the shops aren't open when I'm off work?,"Well, I as an employee find it very practical to be able to shop at least on weekends.",146.0,
1331,neither,and how am I supposed to do that when the shops aren't open when I'm off work?,"Sure, other people have to work in the shops on the weekend,",147.0,
1332,neither,and how am I supposed to do that when the shops aren't open when I'm off work?,but they can have days off during the week and run errands at their leisure while I'm stuck in the office.,148.0,
1333,neither,and how am I supposed to do that when the shops aren't open when I'm off work?,"Plus, the state wants me to spend my money,",149.0,
1334,neither,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,Clearly the landlord has to pay for some repairs before a new lease.,150.0,
1335,neither,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,151.0,
1336,neither,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,152.0,
1337,attack,Clearly the landlord has to pay for some repairs before a new lease.,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,153.0,
1338,neither,Clearly the landlord has to pay for some repairs before a new lease.,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,154.0,
1339,neither,Clearly the landlord has to pay for some repairs before a new lease.,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,155.0,
1340,neither,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,156.0,
1341,attack,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,Clearly the landlord has to pay for some repairs before a new lease.,157.0,
1342,neither,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,158.0,
1343,support,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,It is unfair and unjustifiable that new tenants have to pay a much higher rent than previous residents.,159.0,
1344,neither,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,Clearly the landlord has to pay for some repairs before a new lease.,160.0,
1345,neither,All the more so as for an adequate profit the rental rate as compared to the base rent need not be raised for every new lease.,But surely these costs could be covered by a minimal increase in rent over the course of the entire lease.,161.0,
1346,neither,"I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,",as the area is right in the middle of the city (capital).,162.0,
1347,neither,"I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,",The size of the field allows for both housing and generous open space.,163.0,
1348,support,as the area is right in the middle of the city (capital).,"I find the peripheral housing development at Tempelhofer Feld right for urban planning reasons,",164.0,
