,relationType,argSrc,argTrg
398,neither,A re-introduction of capital punishment in Germany would be a step back into the Middle Ages.,'An eye for an eye' seems to miss the point.
399,support,A re-introduction of capital punishment in Germany would be a step back into the Middle Ages.,The state ought to prevent murder - not avenge it.
400,neither,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.,It is an asset for the economy.
401,neither,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.,The negative impact of air traffic however is considerable.
402,neither,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.,Air traffic is extremely environmentally unfriendly.
403,neither,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades."
404,support,It is an asset for the economy.,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.
405,neither,It is an asset for the economy.,The negative impact of air traffic however is considerable.
406,neither,It is an asset for the economy.,Air traffic is extremely environmentally unfriendly.
407,neither,It is an asset for the economy.,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades."
408,attack,The negative impact of air traffic however is considerable.,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.
409,neither,The negative impact of air traffic however is considerable.,It is an asset for the economy.
410,neither,The negative impact of air traffic however is considerable.,Air traffic is extremely environmentally unfriendly.
411,neither,The negative impact of air traffic however is considerable.,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades."
412,neither,Air traffic is extremely environmentally unfriendly.,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.
413,neither,Air traffic is extremely environmentally unfriendly.,It is an asset for the economy.
414,support,Air traffic is extremely environmentally unfriendly.,The negative impact of air traffic however is considerable.
415,neither,Air traffic is extremely environmentally unfriendly.,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades."
416,neither,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades.",As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.
417,neither,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades.",It is an asset for the economy.
418,support,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades.",The negative impact of air traffic however is considerable.
419,neither,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades.",Air traffic is extremely environmentally unfriendly.
420,neither,The current tour of Tokio Hotel is breaking all records.,Never have there been longer queues at the advance ticket offices –
421,neither,The current tour of Tokio Hotel is breaking all records.,in Japan there was one exceeding 3.2km –
422,neither,The current tour of Tokio Hotel is breaking all records.,"aside from, perhaps, during the heyday of Take That."
423,neither,The current tour of Tokio Hotel is breaking all records.,But at times even the online sales outlets haven't been coping with the demand.
424,support,Never have there been longer queues at the advance ticket offices –,The current tour of Tokio Hotel is breaking all records.
425,neither,Never have there been longer queues at the advance ticket offices –,in Japan there was one exceeding 3.2km –
426,neither,Never have there been longer queues at the advance ticket offices –,"aside from, perhaps, during the heyday of Take That."
427,neither,Never have there been longer queues at the advance ticket offices –,But at times even the online sales outlets haven't been coping with the demand.
428,neither,in Japan there was one exceeding 3.2km –,The current tour of Tokio Hotel is breaking all records.
429,support,in Japan there was one exceeding 3.2km –,Never have there been longer queues at the advance ticket offices –
430,neither,in Japan there was one exceeding 3.2km –,"aside from, perhaps, during the heyday of Take That."
431,neither,in Japan there was one exceeding 3.2km –,But at times even the online sales outlets haven't been coping with the demand.
432,neither,"aside from, perhaps, during the heyday of Take That.",The current tour of Tokio Hotel is breaking all records.
433,attack,"aside from, perhaps, during the heyday of Take That.",Never have there been longer queues at the advance ticket offices –
434,neither,"aside from, perhaps, during the heyday of Take That.",in Japan there was one exceeding 3.2km –
435,neither,"aside from, perhaps, during the heyday of Take That.",But at times even the online sales outlets haven't been coping with the demand.
436,support,But at times even the online sales outlets haven't been coping with the demand.,The current tour of Tokio Hotel is breaking all records.
437,neither,But at times even the online sales outlets haven't been coping with the demand.,Never have there been longer queues at the advance ticket offices –
438,neither,But at times even the online sales outlets haven't been coping with the demand.,in Japan there was one exceeding 3.2km –
439,neither,But at times even the online sales outlets haven't been coping with the demand.,"aside from, perhaps, during the heyday of Take That."
440,neither,Health insurance companies should not cover treatment in complementary medicine,unless the promised effect and its medical benefit have been concretely proven.
441,neither,Health insurance companies should not cover treatment in complementary medicine,Yet this very proof is lacking in most cases.
442,neither,Health insurance companies should not cover treatment in complementary medicine,Patients do often report relief of their complaints after such treatments.
443,neither,Health insurance companies should not cover treatment in complementary medicine,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty."
444,attack,unless the promised effect and its medical benefit have been concretely proven.,Health insurance companies should not cover treatment in complementary medicine
445,neither,unless the promised effect and its medical benefit have been concretely proven.,Yet this very proof is lacking in most cases.
446,neither,unless the promised effect and its medical benefit have been concretely proven.,Patients do often report relief of their complaints after such treatments.
447,neither,unless the promised effect and its medical benefit have been concretely proven.,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty."
448,neither,Yet this very proof is lacking in most cases.,Health insurance companies should not cover treatment in complementary medicine
449,attack,Yet this very proof is lacking in most cases.,unless the promised effect and its medical benefit have been concretely proven.
450,neither,Yet this very proof is lacking in most cases.,Patients do often report relief of their complaints after such treatments.
451,neither,Yet this very proof is lacking in most cases.,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty."
452,attack,Patients do often report relief of their complaints after such treatments.,Health insurance companies should not cover treatment in complementary medicine
453,neither,Patients do often report relief of their complaints after such treatments.,unless the promised effect and its medical benefit have been concretely proven.
454,neither,Patients do often report relief of their complaints after such treatments.,Yet this very proof is lacking in most cases.
455,neither,Patients do often report relief of their complaints after such treatments.,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty."
456,neither,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty.",Health insurance companies should not cover treatment in complementary medicine
457,neither,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty.",unless the promised effect and its medical benefit have been concretely proven.
458,neither,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty.",Yet this very proof is lacking in most cases.
459,attack,"But as long as it is unclear as to how this works, the funds should rather be spent on therapies where one knows with certainty.",Patients do often report relief of their complaints after such treatments.
460,neither,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time.",Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.
461,neither,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time.",But still Germany produces way too much rubbish
462,neither,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time.",and too many resources are lost when what actually should be separated and recycled is burnt.
463,attack,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time.",We Berliners should take the chance and become pioneers in waste separation!
464,support,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time."
465,neither,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.,But still Germany produces way too much rubbish
466,neither,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.,and too many resources are lost when what actually should be separated and recycled is burnt.
467,neither,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.,We Berliners should take the chance and become pioneers in waste separation!
468,attack,But still Germany produces way too much rubbish,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time."
469,neither,But still Germany produces way too much rubbish,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.
470,neither,But still Germany produces way too much rubbish,and too many resources are lost when what actually should be separated and recycled is burnt.
471,neither,But still Germany produces way too much rubbish,We Berliners should take the chance and become pioneers in waste separation!
472,attack,and too many resources are lost when what actually should be separated and recycled is burnt.,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time."
473,neither,and too many resources are lost when what actually should be separated and recycled is burnt.,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.
474,neither,and too many resources are lost when what actually should be separated and recycled is burnt.,But still Germany produces way too much rubbish
475,neither,and too many resources are lost when what actually should be separated and recycled is burnt.,We Berliners should take the chance and become pioneers in waste separation!
476,neither,We Berliners should take the chance and become pioneers in waste separation!,"Yes, it's annoying and cumbersome to separate your rubbish properly all the time."
477,neither,We Berliners should take the chance and become pioneers in waste separation!,Three different bin bags stink away in the kitchen and have to be sorted into different wheelie bins.
478,neither,We Berliners should take the chance and become pioneers in waste separation!,But still Germany produces way too much rubbish
479,neither,We Berliners should take the chance and become pioneers in waste separation!,and too many resources are lost when what actually should be separated and recycled is burnt.
480,neither,"BER should be re-conceptualized from scratch,",even if billions of Euros have already been invested in the existing airport project
481,neither,"BER should be re-conceptualized from scratch,",and this would delay the date of completion indefinitely.
482,neither,"BER should be re-conceptualized from scratch,",Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.
483,attack,even if billions of Euros have already been invested in the existing airport project,"BER should be re-conceptualized from scratch,"
484,neither,even if billions of Euros have already been invested in the existing airport project,and this would delay the date of completion indefinitely.
485,neither,even if billions of Euros have already been invested in the existing airport project,Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.
486,attack,and this would delay the date of completion indefinitely.,"BER should be re-conceptualized from scratch,"
487,neither,and this would delay the date of completion indefinitely.,even if billions of Euros have already been invested in the existing airport project
488,neither,and this would delay the date of completion indefinitely.,Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.
489,support,Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.,"BER should be re-conceptualized from scratch,"
490,neither,Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.,even if billions of Euros have already been invested in the existing airport project
491,neither,Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.,and this would delay the date of completion indefinitely.
492,support,Intelligence services apparently enjoy indiscriminate liberties.,No one can follow their activities in detail.
493,neither,Intelligence services apparently enjoy indiscriminate liberties.,Of course a certain level of secrecy is the basis for the work of intelligence services.
494,neither,Intelligence services apparently enjoy indiscriminate liberties.,"The unregulated work of the secret services, however, carries the danger of misuse of their authority."
495,neither,Intelligence services apparently enjoy indiscriminate liberties.,That's why intelligence services must be regulated in the framework of parliamentary oversight committees.
496,neither,No one can follow their activities in detail.,Intelligence services apparently enjoy indiscriminate liberties.
497,neither,No one can follow their activities in detail.,Of course a certain level of secrecy is the basis for the work of intelligence services.
498,neither,No one can follow their activities in detail.,"The unregulated work of the secret services, however, carries the danger of misuse of their authority."
499,support,No one can follow their activities in detail.,That's why intelligence services must be regulated in the framework of parliamentary oversight committees.
500,neither,Of course a certain level of secrecy is the basis for the work of intelligence services.,Intelligence services apparently enjoy indiscriminate liberties.
501,attack,Of course a certain level of secrecy is the basis for the work of intelligence services.,No one can follow their activities in detail.
502,neither,Of course a certain level of secrecy is the basis for the work of intelligence services.,"The unregulated work of the secret services, however, carries the danger of misuse of their authority."
503,neither,Of course a certain level of secrecy is the basis for the work of intelligence services.,That's why intelligence services must be regulated in the framework of parliamentary oversight committees.
504,neither,"The unregulated work of the secret services, however, carries the danger of misuse of their authority.",Intelligence services apparently enjoy indiscriminate liberties.
505,neither,"The unregulated work of the secret services, however, carries the danger of misuse of their authority.",No one can follow their activities in detail.
506,attack,"The unregulated work of the secret services, however, carries the danger of misuse of their authority.",Of course a certain level of secrecy is the basis for the work of intelligence services.
507,neither,"The unregulated work of the secret services, however, carries the danger of misuse of their authority.",That's why intelligence services must be regulated in the framework of parliamentary oversight committees.
508,neither,That's why intelligence services must be regulated in the framework of parliamentary oversight committees.,Intelligence services apparently enjoy indiscriminate liberties.
509,neither,That's why intelligence services must be regulated in the framework of parliamentary oversight committees.,No one can follow their activities in detail.
510,neither,That's why intelligence services must be regulated in the framework of parliamentary oversight committees.,Of course a certain level of secrecy is the basis for the work of intelligence services.
511,neither,That's why intelligence services must be regulated in the framework of parliamentary oversight committees.,"The unregulated work of the secret services, however, carries the danger of misuse of their authority."
512,neither,For dog dirt left on the pavement dog owners should by all means pay a bit more.,"Indeed it's not the fault of the animals,"
513,neither,For dog dirt left on the pavement dog owners should by all means pay a bit more.,"but once you step in it, their excrement seems to stick rather persistently to your soles."
514,attack,"Indeed it's not the fault of the animals,",For dog dirt left on the pavement dog owners should by all means pay a bit more.
515,neither,"Indeed it's not the fault of the animals,","but once you step in it, their excrement seems to stick rather persistently to your soles."
516,neither,"but once you step in it, their excrement seems to stick rather persistently to your soles.",For dog dirt left on the pavement dog owners should by all means pay a bit more.
517,attack,"but once you step in it, their excrement seems to stick rather persistently to your soles.","Indeed it's not the fault of the animals,"
518,neither,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,","they’re very bad however, if the rent suddenly climbs by €100 or €200."
519,neither,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,",With those kinds of amounts you think twice about whether you really want to stay in the flat.
520,attack,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,","If there must be rent increases, there should also be a cap to avoid nasty surprises."
521,neither,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,","This helps the landlords,"
522,neither,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,","as they can adjust their expenses through the increase,"
523,neither,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,","and also the tenants,"
524,neither,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,",as they can plan for a maximum rent increase.
525,neither,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,","That the landlords are then slightly restricted in the administration of their property is not a problem,"
526,neither,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,",as they have more pull in the end anyway.
527,neither,"they’re very bad however, if the rent suddenly climbs by €100 or €200.","Rent increases upon re-letting aren't bad as such, if it's only a small amount,"
528,neither,"they’re very bad however, if the rent suddenly climbs by €100 or €200.",With those kinds of amounts you think twice about whether you really want to stay in the flat.
529,support,"they’re very bad however, if the rent suddenly climbs by €100 or €200.","If there must be rent increases, there should also be a cap to avoid nasty surprises."
530,neither,"they’re very bad however, if the rent suddenly climbs by €100 or €200.","This helps the landlords,"
531,neither,"they’re very bad however, if the rent suddenly climbs by €100 or €200.","as they can adjust their expenses through the increase,"
532,neither,"they’re very bad however, if the rent suddenly climbs by €100 or €200.","and also the tenants,"
533,neither,"they’re very bad however, if the rent suddenly climbs by €100 or €200.",as they can plan for a maximum rent increase.
534,neither,"they’re very bad however, if the rent suddenly climbs by €100 or €200.","That the landlords are then slightly restricted in the administration of their property is not a problem,"
535,neither,"they’re very bad however, if the rent suddenly climbs by €100 or €200.",as they have more pull in the end anyway.
536,neither,With those kinds of amounts you think twice about whether you really want to stay in the flat.,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,"
537,support,With those kinds of amounts you think twice about whether you really want to stay in the flat.,"they’re very bad however, if the rent suddenly climbs by €100 or €200."
538,neither,With those kinds of amounts you think twice about whether you really want to stay in the flat.,"If there must be rent increases, there should also be a cap to avoid nasty surprises."
539,neither,With those kinds of amounts you think twice about whether you really want to stay in the flat.,"This helps the landlords,"
540,neither,With those kinds of amounts you think twice about whether you really want to stay in the flat.,"as they can adjust their expenses through the increase,"
541,neither,With those kinds of amounts you think twice about whether you really want to stay in the flat.,"and also the tenants,"
542,neither,With those kinds of amounts you think twice about whether you really want to stay in the flat.,as they can plan for a maximum rent increase.
543,neither,With those kinds of amounts you think twice about whether you really want to stay in the flat.,"That the landlords are then slightly restricted in the administration of their property is not a problem,"
544,neither,With those kinds of amounts you think twice about whether you really want to stay in the flat.,as they have more pull in the end anyway.
545,neither,"If there must be rent increases, there should also be a cap to avoid nasty surprises.","Rent increases upon re-letting aren't bad as such, if it's only a small amount,"
546,neither,"If there must be rent increases, there should also be a cap to avoid nasty surprises.","they’re very bad however, if the rent suddenly climbs by €100 or €200."
547,neither,"If there must be rent increases, there should also be a cap to avoid nasty surprises.",With those kinds of amounts you think twice about whether you really want to stay in the flat.
548,neither,"If there must be rent increases, there should also be a cap to avoid nasty surprises.","This helps the landlords,"
549,neither,"If there must be rent increases, there should also be a cap to avoid nasty surprises.","as they can adjust their expenses through the increase,"
550,neither,"If there must be rent increases, there should also be a cap to avoid nasty surprises.","and also the tenants,"
551,neither,"If there must be rent increases, there should also be a cap to avoid nasty surprises.",as they can plan for a maximum rent increase.
552,neither,"If there must be rent increases, there should also be a cap to avoid nasty surprises.","That the landlords are then slightly restricted in the administration of their property is not a problem,"
553,neither,"If there must be rent increases, there should also be a cap to avoid nasty surprises.",as they have more pull in the end anyway.
554,neither,"This helps the landlords,","Rent increases upon re-letting aren't bad as such, if it's only a small amount,"
555,neither,"This helps the landlords,","they’re very bad however, if the rent suddenly climbs by €100 or €200."
556,neither,"This helps the landlords,",With those kinds of amounts you think twice about whether you really want to stay in the flat.
557,support,"This helps the landlords,","If there must be rent increases, there should also be a cap to avoid nasty surprises."
558,neither,"This helps the landlords,","as they can adjust their expenses through the increase,"
559,neither,"This helps the landlords,","and also the tenants,"
560,neither,"This helps the landlords,",as they can plan for a maximum rent increase.
561,neither,"This helps the landlords,","That the landlords are then slightly restricted in the administration of their property is not a problem,"
562,neither,"This helps the landlords,",as they have more pull in the end anyway.
563,neither,"as they can adjust their expenses through the increase,","Rent increases upon re-letting aren't bad as such, if it's only a small amount,"
564,neither,"as they can adjust their expenses through the increase,","they’re very bad however, if the rent suddenly climbs by €100 or €200."
565,neither,"as they can adjust their expenses through the increase,",With those kinds of amounts you think twice about whether you really want to stay in the flat.
566,neither,"as they can adjust their expenses through the increase,","If there must be rent increases, there should also be a cap to avoid nasty surprises."
567,support,"as they can adjust their expenses through the increase,","This helps the landlords,"
568,neither,"as they can adjust their expenses through the increase,","and also the tenants,"
569,neither,"as they can adjust their expenses through the increase,",as they can plan for a maximum rent increase.
570,neither,"as they can adjust their expenses through the increase,","That the landlords are then slightly restricted in the administration of their property is not a problem,"
571,neither,"as they can adjust their expenses through the increase,",as they have more pull in the end anyway.
572,neither,"and also the tenants,","Rent increases upon re-letting aren't bad as such, if it's only a small amount,"
573,neither,"and also the tenants,","they’re very bad however, if the rent suddenly climbs by €100 or €200."
574,neither,"and also the tenants,",With those kinds of amounts you think twice about whether you really want to stay in the flat.
575,support,"and also the tenants,","If there must be rent increases, there should also be a cap to avoid nasty surprises."
576,neither,"and also the tenants,","This helps the landlords,"
577,neither,"and also the tenants,","as they can adjust their expenses through the increase,"
578,neither,"and also the tenants,",as they can plan for a maximum rent increase.
579,neither,"and also the tenants,","That the landlords are then slightly restricted in the administration of their property is not a problem,"
580,neither,"and also the tenants,",as they have more pull in the end anyway.
581,neither,as they can plan for a maximum rent increase.,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,"
582,neither,as they can plan for a maximum rent increase.,"they’re very bad however, if the rent suddenly climbs by €100 or €200."
583,neither,as they can plan for a maximum rent increase.,With those kinds of amounts you think twice about whether you really want to stay in the flat.
584,neither,as they can plan for a maximum rent increase.,"If there must be rent increases, there should also be a cap to avoid nasty surprises."
585,neither,as they can plan for a maximum rent increase.,"This helps the landlords,"
586,neither,as they can plan for a maximum rent increase.,"as they can adjust their expenses through the increase,"
587,support,as they can plan for a maximum rent increase.,"and also the tenants,"
588,neither,as they can plan for a maximum rent increase.,"That the landlords are then slightly restricted in the administration of their property is not a problem,"
589,neither,as they can plan for a maximum rent increase.,as they have more pull in the end anyway.
590,neither,"That the landlords are then slightly restricted in the administration of their property is not a problem,","Rent increases upon re-letting aren't bad as such, if it's only a small amount,"
591,neither,"That the landlords are then slightly restricted in the administration of their property is not a problem,","they’re very bad however, if the rent suddenly climbs by €100 or €200."
592,neither,"That the landlords are then slightly restricted in the administration of their property is not a problem,",With those kinds of amounts you think twice about whether you really want to stay in the flat.
593,support,"That the landlords are then slightly restricted in the administration of their property is not a problem,","If there must be rent increases, there should also be a cap to avoid nasty surprises."
594,neither,"That the landlords are then slightly restricted in the administration of their property is not a problem,","This helps the landlords,"
595,neither,"That the landlords are then slightly restricted in the administration of their property is not a problem,","as they can adjust their expenses through the increase,"
596,neither,"That the landlords are then slightly restricted in the administration of their property is not a problem,","and also the tenants,"
597,neither,"That the landlords are then slightly restricted in the administration of their property is not a problem,",as they can plan for a maximum rent increase.
598,neither,"That the landlords are then slightly restricted in the administration of their property is not a problem,",as they have more pull in the end anyway.
599,neither,as they have more pull in the end anyway.,"Rent increases upon re-letting aren't bad as such, if it's only a small amount,"
600,neither,as they have more pull in the end anyway.,"they’re very bad however, if the rent suddenly climbs by €100 or €200."
601,neither,as they have more pull in the end anyway.,With those kinds of amounts you think twice about whether you really want to stay in the flat.
602,neither,as they have more pull in the end anyway.,"If there must be rent increases, there should also be a cap to avoid nasty surprises."
603,neither,as they have more pull in the end anyway.,"This helps the landlords,"
604,neither,as they have more pull in the end anyway.,"as they can adjust their expenses through the increase,"
605,neither,as they have more pull in the end anyway.,"and also the tenants,"
606,neither,as they have more pull in the end anyway.,as they can plan for a maximum rent increase.
607,support,as they have more pull in the end anyway.,"That the landlords are then slightly restricted in the administration of their property is not a problem,"
608,neither,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,"Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper."
609,support,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,Hence it is good when shops are not open on Sundays and public holidays.
610,neither,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't."
611,neither,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.,"For those people the late opening hours, which meanwhile already extend to 12:00 midnight, present a good alternative."
612,neither,"Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper.",Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.
613,support,"Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper.",Hence it is good when shops are not open on Sundays and public holidays.
614,neither,"Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper.","People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't."
615,neither,"Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper.","For those people the late opening hours, which meanwhile already extend to 12:00 midnight, present a good alternative."
616,neither,Hence it is good when shops are not open on Sundays and public holidays.,Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.
617,neither,Hence it is good when shops are not open on Sundays and public holidays.,"Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper."
618,neither,Hence it is good when shops are not open on Sundays and public holidays.,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't."
619,neither,Hence it is good when shops are not open on Sundays and public holidays.,"For those people the late opening hours, which meanwhile already extend to 12:00 midnight, present a good alternative."
620,neither,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.",Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.
621,neither,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.","Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper."
622,attack,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.",Hence it is good when shops are not open on Sundays and public holidays.
623,neither,"People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't.","For those people the late opening hours, which meanwhile already extend to 12:00 midnight, present a good alternative."
624,neither,"For those people the late opening hours, which meanwhile already extend to 12:00 midnight, present a good alternative.",Supermarket employees and people who work in shopping centres also have the right to a Sunday off work.
625,neither,"For those people the late opening hours, which meanwhile already extend to 12:00 midnight, present a good alternative.","Likewise public holidays should remain what they are: for some a day of introspection, for others a paid day off that is not taken away from the annual paid leave proper."
626,neither,"For those people the late opening hours, which meanwhile already extend to 12:00 midnight, present a good alternative.",Hence it is good when shops are not open on Sundays and public holidays.
627,attack,"For those people the late opening hours, which meanwhile already extend to 12:00 midnight, present a good alternative.","People, however, who work during the week and on Saturdays then have a problem: everyone else can shop weekdays, but they can't."
628,neither,There should be a higher fine for dog dirt on the pavement.,Dog dirt is disgusting and a hygiene problem.
629,neither,There should be a higher fine for dog dirt on the pavement.,"Also children, adults and other animals aren't allowed to leave droppings on the pavement."
630,neither,There should be a higher fine for dog dirt on the pavement.,"If you dispose of the waste then and there yourself, no fine is necessary."
631,support,Dog dirt is disgusting and a hygiene problem.,There should be a higher fine for dog dirt on the pavement.
632,neither,Dog dirt is disgusting and a hygiene problem.,"Also children, adults and other animals aren't allowed to leave droppings on the pavement."
633,neither,Dog dirt is disgusting and a hygiene problem.,"If you dispose of the waste then and there yourself, no fine is necessary."
634,support,"Also children, adults and other animals aren't allowed to leave droppings on the pavement.",There should be a higher fine for dog dirt on the pavement.
635,neither,"Also children, adults and other animals aren't allowed to leave droppings on the pavement.",Dog dirt is disgusting and a hygiene problem.
636,neither,"Also children, adults and other animals aren't allowed to leave droppings on the pavement.","If you dispose of the waste then and there yourself, no fine is necessary."
637,support,"If you dispose of the waste then and there yourself, no fine is necessary.",There should be a higher fine for dog dirt on the pavement.
638,neither,"If you dispose of the waste then and there yourself, no fine is necessary.",Dog dirt is disgusting and a hygiene problem.
639,neither,"If you dispose of the waste then and there yourself, no fine is necessary.","Also children, adults and other animals aren't allowed to leave droppings on the pavement."
640,neither,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.,But it's not that simple.
641,neither,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.,Perhaps a new life was already created that night.
642,neither,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.,I would kill it without further thought.
643,attack,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.,That's why a visit to the doctor and professional advice should remain mandatory.
644,attack,But it's not that simple.,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.
645,neither,But it's not that simple.,Perhaps a new life was already created that night.
646,neither,But it's not that simple.,I would kill it without further thought.
647,neither,But it's not that simple.,That's why a visit to the doctor and professional advice should remain mandatory.
648,neither,Perhaps a new life was already created that night.,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.
649,support,Perhaps a new life was already created that night.,But it's not that simple.
650,neither,Perhaps a new life was already created that night.,I would kill it without further thought.
651,neither,Perhaps a new life was already created that night.,That's why a visit to the doctor and professional advice should remain mandatory.
652,neither,I would kill it without further thought.,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.
653,support,I would kill it without further thought.,But it's not that simple.
654,neither,I would kill it without further thought.,Perhaps a new life was already created that night.
655,neither,I would kill it without further thought.,That's why a visit to the doctor and professional advice should remain mandatory.
656,neither,That's why a visit to the doctor and professional advice should remain mandatory.,Of course it would be nice and simple if after a fun night out with a party acquaintance you could simply take the 'morning-after pill' and feel at ease.
657,neither,That's why a visit to the doctor and professional advice should remain mandatory.,But it's not that simple.
658,neither,That's why a visit to the doctor and professional advice should remain mandatory.,Perhaps a new life was already created that night.
659,neither,That's why a visit to the doctor and professional advice should remain mandatory.,I would kill it without further thought.
660,neither,The choice of an attending physician is at the discretion of the patient.,Yet the funds of the health insurance companies are a common benefit for all premium payers.
661,attack,The choice of an attending physician is at the discretion of the patient.,They should not be spent on personal preferences without proven use.
662,neither,The choice of an attending physician is at the discretion of the patient.,The effectiveness of many natural remedies has not been demonstrated.
663,neither,The choice of an attending physician is at the discretion of the patient.,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.
664,neither,Yet the funds of the health insurance companies are a common benefit for all premium payers.,The choice of an attending physician is at the discretion of the patient.
